Minsan                 ;Cod.EAN                ;Prezzo al Pubblico     ;Pr.acquisto ivato      ;Aliquota IVA           ;ATC                    ;Giacenza               
908771900;8001040016534;    5,09;    3,00;10;4AA1C01;  26
908861774;8001040011447;    5,09;    4,31;10;4AA1C01;   4
908772205;8001040016541;    5,09;    3,04;10;4AA1C01;  54
909917357;8001040012550;    5,70;    4,80;10;4AA1C01;   7
908604628;8001040012659;    5,70;    4,75;10;4AA1C01;  26
909258992;8001040017005;    3,46;    2,82;10;4AA1C01;   9
908772357;8001040016596;    5,09;    4,08;10;4AA1C01;  19
908772953;8001040016558;    5,09;    4,15;10;4AA1C01;   3
909837395;8001040015056;    3,47;    2,92;10;4AA1C01;  36
909837306;8001040015155;    3,47;    2,92;10;4AA1C01;  20
908817897;8001040009703;    5,41;    3,48;10;4AA1C01;   3
906073566;8001040002087;    4,72;    3,63;04;4AA1C01;  56
908852700;8001040421277;    9,86;    7,57;04;4AA1C99; 100
900634445;8001040080726;    8,09;    7,08;10;4AA1C04; 100
901572925;8000050542705;    9,09;    6,94;10;4AA1B08;  11
909027839;8000050567302;    9,19;    7,50;10;4AA1C04;  34
901224776;8008698005347;    4,20;    3,06;10;4AA2D04;  84
906357963;8008698005828;    1,55;    1,13;10;4AA2D99;  65
908411655;8008698005118;    6,55;    4,76;10;4AA2D03;  12
909853689;8008698005286;    3,40;    2,50;10;4AA2D99;  31
912625985;8008698001882;    3,35;    2,43;10;4AA2D04;  15
912625973;8008698001905;    3,35;    2,43;10;4AA2D04;  11
908333103;8003802020209;    3,75;    2,79;10;4AA2D99; 100
980078481;8001040413562;   11,49;    8,43;10;4AA2B30; 100
908467778;8008380001787;    2,50;    1,52;10;4AX1   ; 100
908728797;             ;   24,00;   18,40;10;4AA2F21;  30
909005631;8056590980651;   36,70;   18,41;10;8AC2C  ;  47
909108363;8056590980507;   35,50;   16,65;10;8AC2C  ; 100
909748737;8056590980521;   36,70;   17,22;10;8AC2C  ;  44
906601253;8712400748186;   26,99;   18,81;10;4AA2B07;  42
912763240;5016533627862;   11,99;    6,89;10;4AA2B14; 100
912452683;5016533627664;   10,39;    6,38;04;4AA2B19;  44
912452772;5016533627718;   10,39;    6,43;04;4AA2B19;  91
912452796;5016533627688;   10,39;    6,66;04;4AA2B19;  55
912452810;5016533627640;    5,99;    3,69;04;4AA2B19;  87
906601404;8712400748155;   73,79;   54,46;10;4AA2B99;  10
903527176;8027969401503;   11,50;    8,76;22;6AC5I01;  12
902001371;             ;   17,90;   12,09;10;4AA2F31;  51
016703035;             ;    0,00;    8,92;10;R02AB02; 100
032036028;             ;    0,00;    4,43;10;A01AB03;   9
032036030;             ;    0,00;    5,05;10;A01AB03;  11
908487679;             ;   12,50;    9,03;22;6AD1   ;  42
908487693;             ;    8,00;    5,25;22;6AD1   ;  74
908487705;             ;    8,00;    5,00;22;6AD1   ;  26
908487681;             ;    8,00;    5,00;22;6AD1   ; 100
908019553;8019629004155;   18,20;    7,70;22;6AA2I  ; 100
908565171;8019629001604;   31,70;   13,17;10;4AA2F20; 100
900718608;8019629001598;   23,30;    9,71;10;4AA2F20; 100
901261368;8019629001611;   29,40;   12,25;10;4AA2F20; 100
909038186;             ;   12,00;    6,39;22;6AA1B  ; 100
909390104;8019629001901;   24,90;   13,18;22;6AD1   ;  17
908967399;             ;    6,30;    3,33;22;6AD1   ;  66
908967387;             ;    7,95;    4,21;22;6AD1   ; 100
908706702;5023323000224;   39,20;   25,93;22;7AA9X  ;   9
906521923;8015662711234;    2,60;    1,73;22;7BA2A03; 100
909206904;8025617102017;   13,50;    9,77;22;6AC5A  ;  11
945249213;8054608870215;    7,50;    5,43;22;6AD1   ;  30
900337510;3282779002721;   24,90;   15,10;22;6AC5I01; 100
903980530;3282779003124;   11,90;    7,43;22;6AC5I99; 100
903970921;3282779003131;   16,90;    9,32;22;6AC5I99; 100
906065952;8026486284514;    1,60;    0,79;22;7AC1E01; 100
906066028;8026486280813;    3,60;    1,81;22;7AC1E01; 100
903022554;             ;    8,30;    5,76;10;4AA2F30;  18
908375850;             ;   22,50;   17,62;10;4AA2F15;  24
908395027;             ;   22,80;   17,78;10;4AA2F15;  10
939370755;8053291013213;   30,90;   23,83;22;6AA2G  ;  66
909044695;8053291013107;   15,99;   12,18;22;6AA2F  ; 100
908648708;8053291013138;   18,90;   13,88;22;6AA1F  ; 100
900691395;             ;   16,90;   11,35;10;4AA2F12; 100
908283070;             ;   18,99;   13,04;10;4AA2F11;  46
909128631;8053291013329;   18,99;   14,46;22;6AA1E  ;  96
909129684;8011674004845;   22,40;   16,59;22;6AA2X  ; 100
908693880;8011674001455;   11,95;    8,77;22;6AA1B  ; 100
908604147;8011674003183;   14,00;   10,20;22;6AD2   ; 100
908916772;             ;   21,80;   16,14;22;6AC5I01; 100
908916760;8011674004081;   22,40;   16,18;22;6AC5I04; 100
908819295;8011674002445;   11,60;    8,56;22;7AF6B99;  99
908817442;8011674001523;   10,40;    7,64;22;7AF6D02;  89
909799898;8011674001547;   10,40;    7,70;22;7AF6B04; 100
028466011;             ;    0,00;    6,01;10;A07DA03; 100
901068635;             ;    6,50;    3,94;10;4AA2F24; 100
925327126;8004450003224;    2,76;    1,89;22;7MA1A  ; 100
901239588;8057742820177;   17,90;   10,75;22;6AB2   ;  62
901239552;8057742820139;   10,30;    5,98;22;6AB2   ; 100
935205536;8057742820184;   10,30;    5,95;22;6AB2   ; 100
901239576;8057742820122;   10,30;    5,93;22;6AB2   ; 100
908747544;8057742820108;    8,70;    5,06;22;6AB1   ; 100
908310461;8057742820085;    4,20;    2,45;22;6AB5A01;  46
908310473;8057742820078;    4,20;    2,45;22;6AB5A01;  89
908366723;8057742820061;    4,20;    2,44;22;6AB5A01; 100
004763114;             ;    0,00;    4,90;10;N02BA51; 100
004763330;             ;    0,00;    6,94;10;N02BA51; 100
903340851;8002030142356;    7,50;    3,95;22;7MA2B  ; 100
903340863;8002030142554;   11,00;    5,80;22;7MA2B  ; 100
026045029;             ;    0,00;   11,69;10;D01AC10; 100
908326337;8000560780901;   11,80;    7,63;22;8AD1B  ;  10
022760019;             ;    0,00;   10,14;10;D01AC01; 100
025833068;             ;    0,00;   10,98;10;G01AF02; 100
025833029;             ;    0,00;   13,56;10;G01AF02; 100
012377089;             ;    0,00;    4,37;10;R05CA10;  86
012377026;             ;    0,00;    3,82;10;R05CA10;  67
012377053;             ;    0,00;    3,93;10;R05CA10;  35
908732567;8000560782776;   11,80;    7,63;22;8AD1B  ;   9
901178792;8002140116216;    9,30;    5,47;22;6AE5B03; 100
901178929;8002140118012;    6,20;    2,59;22;7BB7A  ; 100
901178893;8002140117015;    6,20;    2,55;22;7BB7A  ; 100
901178879;8002140123016;    6,40;    2,96;22;7BB7A  ; 100
901178855;8002140124020;    6,40;    2,93;22;7BB7A  ; 100
901178778;8002140112515;    9,30;    3,88;22;6AE5B01; 100
901179010;8002140113215;    9,50;    4,10;22;6AE5A01; 100
901179034;8002140113314;    9,50;    5,20;22;6AE5A02;  36
901179022;8002140106026;   14,90;    6,69;22;6AE5A01; 100
900466703;3337871311292;   14,94;    9,21;22;6AA1X  ; 100
902310402;3337871308612;   15,50;    9,82;22;6AC5A  ;   3
907280313;3337871310455;   15,50;    9,31;22;6AD2   ; 100
026349035;             ;    0,00;   14,32;10;C05BA01;  35
908886649;             ;    5,40;    3,10;10;4AB2   ;  71
022816021;             ;    0,00;   37,21;10;D11AX  ; 100
009262015;             ;    8,40;    5,75;10;A06AB02; 100
101009013;8431506228568;   32,75;   18,19;10;A11DB  ;  83
025669019;             ;    0,00;    4,08;10;M01AE01; 100
015001023;             ;    0,00;    3,52;10;S01GA02; 100
012745117;             ;    0,00;    5,61;10;N02BE01; 100
012745093;             ;    0,00;    4,53;10;N02BE01; 100
012745081;             ;    0,00;    3,59;10;N02BE01; 100
012745016;             ;    0,00;    5,13;10;N02BE01; 100
034329058;             ;    0,00;    6,51;10;N02BE01; 100
012745079;             ;    0,00;    4,15;10;N02BE01; 100
012745042;             ;    0,00;    4,51;10;N02BE01; 100
012745055;             ;    0,00;    4,79;10;N02BE01; 100
012745067;             ;    0,00;    5,54;10;N02BE01; 100
022088088;             ;    0,00;    5,85;10;A01AD02; 100
023399013;             ;    0,00;    6,88;10;G02CC03; 100
023399049;             ;    0,00;   11,52;10;G02CC03; 100
022088052;             ;    0,00;    4,57;10;A01AD02; 100
022088076;             ;    0,00;    6,66;10;A01AD02; 100
022088064;             ;    0,00;    6,09;10;A01AD02; 100
028494033;             ;    0,00;    5,46;10;R02AX03; 100
028165025;             ;   15,90;   11,03;10;S01XA08;   9
026525055;             ;    0,00;    2,30;10;A06AG04; 100
026525042;             ;    0,00;    2,08;10;A06AG04; 100
026525093;             ;    0,00;    2,41;10;A06AX01; 100
026525105;             ;    0,00;    2,08;10;A06AX01; 100
908689250;8032551581037;   26,73;   21,09;10;4AA2B99;  70
908690605;8032551581082;   20,06;   15,83;10;4AA2B99; 100
025009085;             ;    0,00;    7,92;10;R05CB06;  41
025009022;             ;    0,00;    6,68;10;R05CB06;   4
901465118;3401572288297;   16,50;   10,10;22;6AC5A  ;  33
901466957;3701129812068;   16,50;   10,04;22;6AC5A  ; 100
908606217;             ;   13,00;    8,87;10;4AX9   ; 100
900607716;             ;   20,50;   14,36;10;4AA2F17;  51
908044112;             ;   16,00;   11,39;22;6AD1   ; 100
909414587;             ;   14,00;    9,94;22;6AD5A  ; 100
909901439;             ;   29,50;   20,95;22;6AA2H  ;  50
909260388;             ;   16,00;   11,36;22;6AC5A  ;  92
103179026;             ;   22,50;   13,68;10;P53AC51; 100
908210014;             ;   19,60;   13,13;22;8AD1I  ;  33
908650359;             ;   21,30;   14,75;22;8AC2C  ;  14
909831238;             ;   33,50;   23,28;22;8AC2C  ;   3
103177010;             ;   26,60;   16,78;10;P53GX01;   6
101750014;8007220400858;   38,00;   22,06;10;A16AA51;  19
102235037;             ;   21,30;   12,85;10;A12CX90;  37
908464302;8015112000024;   13,59;    7,58;22;8AC2C  ; 100
101759013;8007220401022;   24,50;   16,17;10;S02DA01;  26
909264424;3597133075786;   37,50;   24,57;22;8AG1X  ;   9
909347054;8015112000031;   20,72;   11,68;22;8AC2C  ; 100
902095025;8019971030116;   14,25;    8,72;22;6AA2A  ;  27
902095037;8019971030130;   14,25;    9,08;22;6AA2A  ;  47
902095049;8019971030123;   14,25;    8,64;22;6AA2A  ;   5
908691227;8001090013316;   14,50;    7,28;22;6AA1I  ; 100
904693405;8032738380170;    9,90;    6,70;22;6AE5B03;  33
903980011;8032738380262;    9,90;    6,70;22;6AE5A02;  26
900215599;5450518011039;    8,15;    5,69;22;6AC5I02;  35
003136025;8001090317629;    0,00;    4,52;10;R01AX10; 100
024449050;8001090013033;    0,00;    4,79;10;R05DA20; 100
024449062;8001090013040;    0,00;    7,55;10;R05DA20; 100
028689026;8700216325172;    0,00;    6,30;10;R05CA03; 100
028688024;             ;    0,00;    6,30;10;R05DA09;  97
023198029;5011321844384;    0,00;    6,44;10;R01AA05; 100
026371017;             ;    0,00;    7,46;10;R01AA07;  96
006570028;             ;    0,00;    4,53;10;A02AA04; 100
020708069;             ;    0,00;   11,95;10;A03AX13; 100
005647033;             ;    0,00;   10,69;10;A11EA  ;  67
001340025;             ;    0,00;    7,91;10;A11HA02; 100
004642031;             ;    0,00;    7,69;10;A11DA01; 100
012812018;             ;    0,00;    9,12;10;A11JA  ; 100
909251718;8032715360010;   11,70;    8,13;22;7BB7A  ;  40
909251706;8032715360034;   11,30;    8,25;22;6AD1   ;  18
909436444;8001841424132;    0,00;    3,10;22;6AB2   ; 100
908325196;5010622005005;    0,00;    3,01;22;6AB5C01; 100
908325297;5010622005012;    0,00;    2,90;22;6AB5C02; 100
900321530;8001841032504;    0,00;    1,55;22;6AB5A01; 100
900321555;8001841033501;    0,00;    1,45;22;6AB5A01; 100
902905571;8002030142974;    8,20;    4,22;22;7MA1B  ; 100
103029017;3661103005209;   31,80;   16,78;10;P53AX15; 100
103029029;3661103005216;   52,00;   26,88;10;P53AX15; 100
909963187;8057284420200;   24,00;   15,87;22;7AF6D03;   9
938250798;8057284420088;   22,50;   15,29;22;6AA1D  ;  29
034674010;             ;    0,00;   15,65;10;D11AF  ;  29
034674022;             ;    0,00;   15,65;10;D11AF  ;   9
908604895;             ;   18,00;   13,48;22;6AC5A  ;  32
900846179;8057284420149;   27,50;   19,15;22;6AC5I01;  15
900811668;             ;   16,50;   12,32;22;6AD1   ; 100
025216045;             ;    0,00;   11,86;10;G01AX12;   1
025216072;             ;    0,00;   11,85;10;G01AX12;   5
908320803;             ;    9,60;    7,28;22;6AD5A  ;  33
029160025;             ;    0,00;    4,55;10;A06AD11; 100
000590012;             ;   12,20;    8,24;10;R01AA08; 100
000590051;             ;   12,85;    8,23;10;R01AA08; 100
908929084;8030936200009;   16,90;   12,38;22;7AC2X  ; 100
900750136;8030936200016;   16,90;   12,40;22;7AC2X  ; 100
033708013;             ;    0,00;    6,16;10;A06AB02; 100
909061311;8032956142154;   10,70;    8,15;22;7AC1B05;  92
908890484;8032956140808;    7,90;    4,51;22;7AC1G01; 100
909318711;8032956140778;   20,90;   16,53;22;7AC1B05;  57
902632417;8032956141973;    6,60;    3,48;22;7EA1   ; 100
908309418;             ;   23,42;   14,63;22;7AE4X99;   8
901038947;8032956140068;    6,10;    3,36;22;7AC1B01; 100
901038873;8032956140037;    6,20;    3,15;22;7AC1B01; 100
909318709;8032956140761;   20,90;   16,42;22;7AC1B05;  83
908306323;             ;   15,62;    9,75;22;6AD9   ;  79
908318189;             ;   43,19;   26,97;22;7AD1A99;  36
909061297;8032956142147;   10,70;    8,15;22;7AC1B05; 100
909291965;8008843008698;    9,90;    5,36;10;4AB2   ; 100
010130021;             ;    0,00;   10,53;10;A11HA05;  69
908388655;8007640908606;   10,90;    6,41;10;4AA2F16;  31
909952602;8007640969409;   51,90;   31,03;10;4AA2F16;  10
908453398;8003290000165;    7,50;    4,31;10;4AA2C02; 100
909746303;8030936000005;    9,90;    5,90;22;6AA1F  ;  17
022941064;             ;    0,00;    5,89;10;A06AB08; 100
022941076;             ;    0,00;    4,37;10;A06AB08; 100
909790281;8003290000363;   24,90;   14,36;10;4AA2F17; 100
908453424;8003290000233;   11,90;    6,84;10;4AA2F33; 100
014371088;             ;   13,50;    8,16;10;A01AB03; 100
014371037;             ;   13,50;    8,15;10;A01AB03; 100
004347011;             ;    0,00;    6,97;10;R01AB02; 100
025230071;             ;    0,00;   26,33;10;C01EB09;   4
025230083;             ;   31,03;   21,51;10;C01EB09;   8
024180010;             ;    0,00;    4,37;10;M02AA06; 100
908174117;8058090008828;   14,90;   11,36;22;7AD1A22; 100
908174105;8058090008835;    9,90;    7,52;22;7AD1A22;  91
924294933;8058090002529;    1,10;    0,56;22;7BA1D02; 100
901684047;             ;   13,80;    9,75;10;4AA2F15;  89
023296039;             ;    0,00;   12,45;10;A13A   ; 100
