MIN.SAN.;CODICE SFM;EAN;PRODOTTO;ATC/GMP;GIACENZA;DITTA;PREZZO;IVA;P.P.
902208127;0041033;4719863690018; OPPO CAVIGLIERA NEOPRENE S 1001;7AE2A07;0000003;FARMAC-ZABBAN                 ;    8,47;04;    16,00
934446319;0097543;8054956340330;AAKG 120CP                      ;4AA2F16;0000002;NAMED SPORT                   ;   17,37;10;    32,49
931067033;0008952;             ;AB 300 PLUS CREMA GINECOLOGICA  ;7BB4C  ;0000059;FARMITALIA                    ;   10,81;22;    18,00
902527175;2527174;             ;AB 300-CREMA VAG 30 GR          ;7BB4C  ;0000030;FARMITALIA                    ;   10,27;22;    17,00
913452177;3452172;             ;ABAX UNG 30ML                   ;6AD8X  ;0000034;SANITPHARMA SRL               ;   11,91;22;    18,90
930274244;8924870;             ;ABBASSALINGUA LEGN N/ST 100P SAF;7AD1A01;0000003;SAFETY                        ;    3,46;22;    08,15
908924881;8924888;             ;ABBASSALINGUA LEGN STER  1P SAF ;7AD1A01;0000100;SAFETY                        ;    0,11;22;    00,29
951123266;0354561;6973069983079;ABBASSALINGUA STERILE 100PZ SF+ ;7AD1A01;0001097;SOFARMAPIU'                   ;    3,42;22;    09,90
986873305;0283980;8058045125488;ABBRONZATURA SANA 80PAST RM     ;4AA2F21;0000007;GIORGINI SER-VIS SRL          ;   15,28;10;    30,80
979683594;0206340;             ;ABIBI COLICHE GTT 30ML          ;4AA2F33;0000006;EBERLIFE                      ;   10,34;10;    15,90
988897575;0334399;             ;ABIBI D3+LUTEIN 15ML            ;4AA2F15;0000002;EBERLIFE                      ;   13,04;10;    19,90
979683606;0206341;             ;ABIBI IMMUNO 200ML              ;4AA2F26;0000068;EBERLIFE                      ;   12,88;10;    18,90
979683618;0206342;             ;ABIBI TOSSE 200ML               ;4AA2F25;0000024;EBERLIFE                      ;   10,23;10;    15,90
987378736;0301743;8050538052219;ABIDERM CREMA 100ML             ;6AD8X  ;0000028;AURORA BIOFARMA               ;   10,26;22;    15,90
911188314;0091941;8015127202765;ABIES PECTINATA 60ML MG         ;3AB4   ;0000003;SARANDREA                     ;    8,40;22;    14,10
974946408;0184090;8050538052059;ABIFLOR BABY GOCCE 5ML          ;4AA2F35;0000143;AURORA BIOFARMA               ;   13,86;10;    22,40
980497869;0211191;8050538052066;ABIFLOR KIDS IMMUNO 14STICK OR  ;4AA2F35;0000091;AURORA BIOFARMA               ;   11,31;10;    18,50
901376018;1376011;             ;ABILAST-BODY CREMA 200ML        ;6AD8A  ;0000016;NEXTRAPHARMA                  ;   24,93;22;    38,50
025358058;3337516;             ;ABIMONO*1 OV VAG 600MG          ;G01AF07;0000043;FARMITALIA                    ;    9,95;10;    16,00
980497844;0211192;8050538051991;ABINCOL IMMUNO 14STICK OROSOL   ;4AA2F35;0000175;AURORA BIOFARMA               ;   13,32;10;    21,60
981416910;0227448;8050538051984;ABINCOL PLUS 14STICK OROSOL     ;4AA2F35;0000069;AURORA BIOFARMA               ;   12,57;10;    20,60
974946372;0184840;8050538051977;ABINCOL 14STICK OROSOLUBILI     ;4AA2F35;0000805;AURORA BIOFARMA               ;   13,06;10;    21,60
986860411;0308528;             ;ABIOMAXX DERMA 30STICK          ;8AC2C  ;0000004;PHARMACROSS                   ;   18,03;22;    33,90
950904730;0353467;8056211950216;ABIOMAXX SENIOR DOG 60CPR       ;8AC2C  ;0000004;PHARMACROSS                   ;   14,62;22;    28,90
950904716;0353468;8056211950209;ABIOMAXX SLIM 30CPR             ;8AC2C  ;0000001;PHARMACROSS                   ;   11,86;22;    21,90
975255439;0188851;             ;ABIVISOR 12BUSTINE              ;4AA2F35;0000371;AURORA BIOFARMA               ;   13,82;10;    22,60
989266251;0333374;             ;ABUDAN 20STICKPACK              ;4AA2F11;0000015;FERA PHARMA                   ;   18,42;10;    28,70
983307909;0263720;             ;ABUMED 30CPS                    ;4AA2F26;0000021;ABUFARMA                      ;   11,32;10;    19,90
970225215;0152263;             ;ABURIL 14BUST                   ;4AA2F33;0000042;ABUFARMA                      ;   10,58;10;    18,90
103179026;7106933;103179026    ;ACACERULEN-GOCCE OTO 25 ML      ;P53AC51;0000061;TEKNOFARMA VET                ;   12,27;10;    22,50
932721032;0259916;8056736160022;ACARBUSTER COPRICUSCINO STAND   ;7AE6B  ;0000002;ENVICON MEDICAL               ;   15,07;22;    25,00
904396177;4396172;             ;ACAROS DETERGENTE 200ML         ;6AD1   ;0000020;DERMORESEARCH JUDIFARM        ;   10,03;22;    17,00
980638985;0219501;8056364778637;ACCIAIOVIS LIQ ANALCO 500ML     ;4AA2F15;0000015;GIORGINI SER-VIS SRL          ;   19,64;10;    41,20
951338779;0361740;8058045129547;ACCIAIOVIS-T 180PAST            ;4AA2F15;0000017;GIORGINI SER-VIS SRL          ;   24,22;10;    49,90
978870804;0289515;8022328110294;ACCORDO EBANO LOZIONE DEO       ;6AD4   ;0000009;L'ERBOLARIO                   ;    8,31;22;    13,90
978870816;0289516;8022328110317;ACCORDO EBANO LOZIONE DOPOB     ;6AC5J03;0000002;L'ERBOLARIO                   ;   12,24;22;    20,90
978870893;0289523;8022328110270;ACCORDO EBANO SHAMPOO DOCCIA    ;6AD1   ;0000036;L'ERBOLARIO                   ;    8,40;22;    13,50
932169129;0289275;8022328105665;ACCORDO VIOLA CREMA CORPO 200   ;6AD8B  ;0000021;L'ERBOLARIO                   ;   15,51;22;    24,90
978474690;0202464;             ;ACCORT 20CPR                    ;4AA2F30;0000024;NOVALUZ ITALIA                ;   13,73;10;    21,90
